"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","","","","","","","","","","",""
"2","","","","","","","","","","",""
"3","68.1%","34.7%","63.7%","53.4%","142.7%","78.2%","","","","",""
"4","52.1%","27.5%","45.0%","38.3%","135.0%","61.7%","","","","","8"
"5","57.5%","36.7%","54.6%","48.3%","140.0%","63.3%","","","","","4"
"6","78.8%","36.7%","58.3%","64.2%","145.0%","83.3%","","","","","3"
"7","57.9%","35.8%","65.8%","48.3%","153.3%","83.3%","","","","","2"
"8","71.3%","36.7%","49.2%","74.2%","135.0%","83.3%","","","","","3"
"9","58.8%","37.1%","54.2%","37.5%","150.0%","76.7%","","","","","5"
"10","70.0%","45.8%","56.7%","57.5%","160.0%","83.3%","","","","","3"
"11","69.6%","40.0%","58.3%","58.3%","131.7%","85.0%","","","","","1"
"12","84.6%","30.8%","49.2%","54.2%","138.3%","66.7%","","","","","4"
"13","59.2%","50.8%","70.0%","52.5%","158.3%","83.3%","","","","","2"
"14","68.8%","15.8%","66.7%","50.8%","145.0%","83.3%","","","","","5"
"15","75.8%","39.2%","76.3%","62.5%","151.7%","81.7%","","","","","3"
"16","57.9%","37.5%","58.3%","38.3%","158.3%","78.3%","","","","","5"
"17","71.3%","42.5%","52.5%","53.3%","136.7%","81.7%","","","","","1"
"18","65.4%","27.5%","65.8%","71.7%","141.7%","81.7%","","","","","3"
"19","68.8%","27.5%","70.8%","48.3%","136.7%","76.7%","","","","","5"
"20","78.3%","42.9%","80.8%","51.7%","140.0%","83.3%","","","","","4"
"21","129.6%","34.6%","64.2%","41.7%","146.7%","81.7%","","","","","7"
"22","70.8%","36.3%","80.8%","55.0%","131.7%","81.7%","","","","","2"
"23","75.8%","38.3%","93.3%","57.5%","143.3%","83.3%","","","","","3"
"24","64.6%","38.3%","71.7%","70.0%","161.7%","63.3%","","","","","3"
"25","70.0%","28.3%","83.3%","69.2%","163.3%","68.3%","","","","","3"
"26","85.4%","46.7%","82.5%","73.3%","115.0%","76.7%","","","","","1"
"27","68.3%","28.3%","43.3%","45.0%","125.0%","76.7%","","","","","7"
"28","47.5%","25.0%","60.8%","53.3%","113.3%","80.0%","","","","","7"
"29","62.1%","28.8%","63.3%","59.2%","156.7%","85.0%","","","","","4"
"30","73.8%","36.7%","65.8%","50.0%","141.7%","78.3%","","","","","4"
"31","71.3%","34.2%","70.4%","35.0%","133.3%","85.0%","","","","","6"
"32","59.6%","37.5%","64.2%","55.0%","128.3%","75.0%","","","","","5"
"33","64.6%","35.8%","72.1%","55.8%","126.7%","65.0%","","","","","3"
"34","64.6%","36.7%","73.3%","65.8%","150.0%","85.0%","","","","","4"
"35","54.2%","43.3%","59.2%","31.7%","133.3%","81.7%","","","","","6"
"36","58.8%","24.2%","42.5%","31.7%","161.7%","80.0%","","","","","6"
"37","57.9%","10.8%","36.3%","45.8%","138.3%","76.7%","","","","","8"
"38","55.8%","38.3%","69.2%","61.7%","160.0%","81.7%","","","","","4"
"39","71.7%","37.5%","64.6%","54.2%","151.7%","73.3%","","","","","1"
"40","","","","","","","","","","",""
